countryA,countryB,entryFlow,exitFlow
Austria,Austria,0.0,153029755.0
Austria,Germany,1673984717.0,2004712175.0
Austria,Hungary,1451513775.0,1451513888.0
Austria,Italy,10337510734.0,10337487110.0
Austria,Slovakia,0.0,61949382804.0
Austria,Slovenia,613150089.0,679629848.0
Belgium,Belgium,7009257098.0,17447719400.0
Belgium,France,2685355738.0,2685357135.0
Belgium,Germany,120369823.076,120355389.0
Belgium,Luxemburg,328876363.0,365990593.0
Belgium,Netherlands,7159827765.7,7317019281.2
Belgium,Norway,5169961533.0,0.0
Belgium,United Kingdom,0.0,772070250.0
Bulgaria,Bulgaria,772591146.0,1356245887.0
Bulgaria,Greece,513695148.0,514484810.0
Bulgaria,North Macedonia,0.0,127173609.0
Bulgaria,Romania,7384508555.0,593695502.057
Bulgaria,Turkey,0.0,2386594038.0
Croatia,Croatia,969046735.0,1349514841.0
Croatia,Hungary,504977881.0,505060000.0
Croatia,Slovenia,251722482.0,228939998.0
Czechia,Czechia,896553200.0,64360568.0
Czechia,Germany,28139977998.7,26677975497.3
Czechia,Poland,262541465.0,288892547.0
Czechia,Slovakia,2035347345.0,1823893007.0
Denmark,Denmark,38950572.0,0.0
Denmark,Germany,2444587888.0,0.0
Estonia,Estonia,0.0,197001635.67000002
Estonia,Latvia,158839007.0,138796987.0
Estonia,Russia,47730862.0,0.0
Finland,Russia,789726505.0,0.0
France,Belgium,2685355738.0,2685357135.0
France,France,28563134138.0,26336311541.0
France,Germany,2104637756.0,1048432000.0
France,Norway,5754308118.0,0.0
France,Spain,533906747.0,537746764.0
France,Switzerland,0.0,1575057192.0
Germany,Austria,1925013803.0,3330378285.0
Germany,Belgium,120369823.076,120355389.0
Germany,Czechia,22214765416.7,12451337417.3
Germany,Denmark,2444587888.0,0.0
Germany,France,1052318878.0,1048432000.0
Germany,Germany,10655145660.0,9763438951.38
Germany,Luxemburg,22954215.0,21922779.2
Germany,Netherlands,9689130998.395,11896568125.1
Germany,Norway,7880611114.4,0.0
Germany,Poland,9351258786.0,8489947378.518
Germany,Switzerland,0.0,23049991877.4
Greece,Bulgaria,513695148.0,514484810.0
Greece,Greece,856791177.0,1766368110.0
Greece,Turkey,935219110.0,0.0
Hungary,Austria,1451513775.0,1451513888.0
Hungary,Croatia,504977881.0,505060000.0
Hungary,Hungary,1307574255.0,6213944222.0
Hungary,Romania,440159702.59000003,440123000.0
Hungary,Serbia,0.0,1256085000.0
Hungary,Slovakia,637657673.0,598663000.0
Hungary,Ukraine,5220395000.0,6872000.0
Ireland,United Kingdom,0.0,1495689386.0
Italy,Austria,10337510734.0,10337487110.0
Italy,Italy,27575076986.0,32781416129.0
Italy,Libya,1786082589.0,0.0
Italy,San Marino,0.0,26827364.0
Italy,Slovenia,0.0,0.0
Italy,Switzerland,1921294798.0,67743710.0
Latvia,Estonia,158839007.0,138796987.0
Latvia,Lithuania,26381951.0,12971713.0
Latvia,Russia,0.0,0.0
Lithuania,Belarus,976944873.0,0.0
Lithuania,Latvia,26381951.0,12971713.0
Lithuania,Lithuania,718622150.0,0.0
Lithuania,Russia,0.0,986481473.0
Luxemburg,Belgium,328876363.0,365990593.0
Luxemburg,Germany,22954215.0,21922779.2
Luxemburg,Luxemburg,0.0,709642594.0
Moldavia,Romania,0.0,0.0
Moldavia,Ukraine,4889079778.2,648244150.16
Morocco,Spain,2817488359.0,0.0
Netherlands,Belgium,7159827765.7,7317019281.2
Netherlands,Germany,6001273097.3,20219735468.1
Netherlands,Netherlands,37133159185.8,22069376293.7
Netherlands,United Kingdom,0.0,17658376.9
North Macedonia,Bulgaria,0.0,127173609.0
Norway,Belgium,5169961533.0,0.0
Norway,Germany,7880611114.4,0.0
Poland,Czechia,262676541.0,288892547.0
Poland,Germany,9351258786.0,8489947378.518
Poland,Poland,5819836575.0,16341419785.0
Portugal,Portugal,3923529794.0,2086324988.0
Portugal,Spain,161695412.0,163942791.0
Romania,Bulgaria,7384508555.0,593695502.057
Romania,Hungary,440159702.59000003,440123000.0
Romania,Moldavia,0.0,0.0
Romania,Romania,6063457522.3,5754751792.1
Romania,Ukraine,4771569554.17,4014368577.4900002
Russia,Estonia,47730862.0,0.0
Russia,Latvia,0.0,0.0
Slovakia,Austria,0.0,46462037103.0
Slovakia,Czechia,2035347345.0,1823893007.0
Slovakia,Hungary,637657673.0,598663000.0
Slovakia,Ukraine,19336942621.0,309799129.0
Slovenia,Austria,613150089.0,679629848.0
Slovenia,Croatia,251722482.0,228939998.0
Slovenia,Italy,0.0,0.0
Slovenia,Slovenia,0.0,388133246.0
Spain,France,533906747.0,537746764.0
Spain,Portugal,161695412.0,163942791.0
Spain,Spain,7613392286.0,10104973902.0
Switzerland,France,0.0,1575057192.0
Switzerland,Germany,0.0,8870005221.8
Switzerland,Italy,1921294798.0,0.0
Turkey,Bulgaria,0.0,2386594038.0
Turkey,Greece,467609555.0,0.0
Ukraine,Belarus,0.0,0.0
Ukraine,Hungary,0.0,5232008445.7
Ukraine,Moldavia,4889079778.2,5716421959.76
Ukraine,Romania,4771569554.17,4818896503.9
Ukraine,Russia,31371063080.1792,0.0
Ukraine,Slovakia,19336942621.0,309799129.0
Ukraine,Ukraine,0.0,5716421959.76
United Kingdom,Belgium,772161754.0,0.0
United Kingdom,Ireland,0.0,0.0
United Kingdom,Netherlands,265.6,0.0
United Kingdom,Norway,14688118510.0,0.0
United Kingdom,United Kingdom,591606212.0,17242547159.0
