countryName,totalEntries,totalExits
Austria,15254163070.0,61084274021.0
Belarus,492617523.0,0.0
Belgium,19794969667.9,22318717073.3
Bulgaria,4877566281.59,3379280777.0
Croatia,1200196758.0,1126180567.0
Czechia,36126341964.0,37425698470.0
Denmark,633338665.0,0.0
Estonia,3594412844.3999996,1230408054.75
Finland,0.0,0.0
France,21608885661.0,25242457233.0
Germany,77287369377.845,77681680193.369
Greece,1901731888.0,2159018193.0
Hungary,3000901336.31484,12000487288.0
Ireland,0.0,1060316400.0
Italy,24080010668.0,37618725271.0
Latvia,3897406748.3999996,1537692271.7
Libya,1653715054.0,0.0
Lithuania,1232260087.0,716491720.0
Luxemburg,170331121.0,517088349.0
Moldavia,2661288162.4,0.0
Morocco,0.0,0.0
Netherlands,25399055909.467,34374044169.67
North Macedonia,0.0,139684662.0
Norway,16296063521.7,0.0
Poland,13637204264.0,17735547370.179
Portugal,3568346030.0,2452396900.0
Romania,10036728405.15884,8784598359.32
Russia,28116511900.1136,0.0
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,16333100678.0,40969449056.0
Slovenia,745627862.0,967339371.0
Spain,10096702702.0,9653462101.0
Switzerland,4637965000.0,12333853198.0
Turkey,177845370.0,1060752196.0
Ukraine,24054342312.253998,18480080460.897
United Kingdom,2275922808.0,7790840908.0
