countryA,countryB,entryFlow,exitFlow
Austria,Austria,0.0,109532473.0
Austria,Germany,1822911241.0,1815198391.0
Austria,Hungary,795463488.0,796816388.0
Austria,Italy,8495949689.0,8495940736.0
Austria,Slovakia,0.0,48684434244.0
Austria,Slovenia,517054852.0,577059995.0
Belgium,Belgium,6346921400.0,13913430010.0
Belgium,France,2784618744.0,2784618879.0
Belgium,Germany,357037820.555,468530486.0
Belgium,Luxemburg,176927045.0,210429821.0
Belgium,Netherlands,6046352414.3,6354598662.5
Belgium,Norway,5033212540.0,0.0
Belgium,United Kingdom,0.0,24632235.0
Bulgaria,Bulgaria,58218528.0,880351635.0
Bulgaria,Greece,91579580.0,95590698.0
Bulgaria,North Macedonia,0.0,74224892.0
Bulgaria,Romania,5203455624.92,835797369.0
Bulgaria,Turkey,0.0,1810148950.0
Croatia,Croatia,390821966.0,1047980748.0
Croatia,Hungary,460589158.0,458680000.0
Croatia,Slovenia,270268560.0,243343432.0
Czechia,Czechia,18567712.0,24402136.0
Czechia,Germany,27377889392.0,24890800384.0
Czechia,Poland,0.0,0.0
Czechia,Slovakia,1562152614.0,1415037615.0
Denmark,Denmark,39427007.0,0.0
Denmark,Germany,2767457672.0,0.0
Estonia,Estonia,0.0,159555410.35999998
Estonia,Latvia,164878324.0,301200989.0
Estonia,Russia,0.0,0.0
Finland,Russia,835225527.0,0.0
France,Belgium,2784618744.0,2784618879.0
France,France,30417971694.0,21763339774.0
France,Germany,2056881572.0,1028416000.0
France,Norway,5014158514.0,0.0
France,Spain,500515228.0,502790110.0
France,Switzerland,0.0,5250508624.0
Germany,Austria,1388124425.0,2178884107.0
Germany,Belgium,357037820.555,468530486.0
Germany,Czechia,21440107677.0,12141153050.0
Germany,Denmark,2767457672.0,0.0
Germany,France,1028440786.0,1028416000.0
Germany,Germany,9797893960.0,11476072718.07
Germany,Luxemburg,93237197.0,93337834.0
Germany,Netherlands,9236966629.122,10235708342.1
Germany,Norway,7297010010.0,0.0
Germany,Poland,9645304794.0,8772510600.01
Germany,Switzerland,410039.986,24116433629.72
Greece,Bulgaria,91579580.0,95590698.0
Greece,Greece,1258126821.0,1377560475.0
Greece,Turkey,327535172.0,0.0
Hungary,Austria,795463488.0,796816388.0
Hungary,Croatia,460589158.0,458680000.0
Hungary,Hungary,590245976.0,3977741414.0
Hungary,Romania,540746470.45,538865000.0
Hungary,Serbia,0.0,1073630800.0
Hungary,Slovakia,419988881.0,404350000.0
Hungary,Ukraine,4578739000.0,515238000.0
Ireland,United Kingdom,0.0,1661159400.0
Italy,Austria,8495949689.0,8495940736.0
Italy,Italy,8470045346.0,22227273049.0
Italy,Libya,2059956716.0,0.0
Italy,San Marino,0.0,15673797.0
Italy,Slovenia,0.0,0.0
Italy,Switzerland,6769147266.0,49082277.0
Latvia,Estonia,164878324.0,301200989.0
Latvia,Lithuania,247813385.0,247813385.0
Latvia,Russia,0.0,0.0
Lithuania,Belarus,928977083.0,0.0
Lithuania,Latvia,247813385.0,247813385.0
Lithuania,Lithuania,902825551.0,0.0
Lithuania,Russia,0.0,859149189.0
Luxemburg,Belgium,176927045.0,210429821.0
Luxemburg,Germany,93237197.0,93337834.0
Luxemburg,Luxemburg,0.0,544600690.0
Moldavia,Romania,0.0,0.0
Moldavia,Ukraine,3403895654.9,149973873.456
Morocco,Spain,2578751673.0,0.0
Netherlands,Belgium,6046352414.3,6354598662.5
Netherlands,Germany,6349529695.2,16406749801.5
Netherlands,Netherlands,25870069166.2,19441922549.4
Netherlands,United Kingdom,0.0,162533560.0
North Macedonia,Bulgaria,0.0,74224892.0
Norway,Belgium,5033212540.0,0.0
Norway,Germany,7297010010.0,0.0
Poland,Czechia,105621.0,0.0
Poland,Germany,9645304794.0,8772510600.01
Poland,Poland,4975310878.0,12778541756.0
Portugal,Portugal,3259524236.0,1862701258.0
Portugal,Spain,117699811.0,118563592.0
Romania,Bulgaria,5203455624.92,835797369.0
Romania,Hungary,540746470.45,538865000.0
Romania,Moldavia,0.0,0.0
Romania,Romania,3111292654.365,4667694363.98
Romania,Ukraine,3278058012.24,2936455988.69
Russia,Estonia,0.0,0.0
Russia,Latvia,0.0,0.0
Slovakia,Austria,0.0,36513325683.0
Slovakia,Czechia,1562152614.0,1415037615.0
Slovakia,Hungary,419988881.0,404350000.0
Slovakia,Ukraine,16394005876.0,2062155038.0
Slovenia,Austria,517054852.0,577059995.0
Slovenia,Croatia,270268560.0,243343432.0
Slovenia,Italy,0.0,0.0
Slovenia,Slovenia,0.0,279688433.0
Spain,France,500515228.0,502790110.0
Spain,Portugal,117699811.0,118563592.0
Spain,Spain,6393861624.0,7299529629.0
Switzerland,France,0.0,5250508624.0
Switzerland,Germany,1230119.9579999999,9280163847.24
Switzerland,Italy,6769147266.0,0.0
Turkey,Bulgaria,0.0,1810148950.0
Turkey,Greece,163767586.0,0.0
Ukraine,Belarus,0.0,0.0
Ukraine,Hungary,0.0,4607224451.7
Ukraine,Moldavia,3403895654.9,3868889021.456
Ukraine,Romania,3278058012.24,3300429737.59
Ukraine,Russia,28854004160.5687,0.0
Ukraine,Slovakia,16394005876.0,2062155038.0
Ukraine,Ukraine,0.0,3868889021.456
United Kingdom,Belgium,24341031.0,0.0
United Kingdom,Ireland,0.0,0.0
United Kingdom,Netherlands,35682395.0,0.0
United Kingdom,Norway,13270720401.0,0.0
United Kingdom,United Kingdom,0.0,13496668773.0
