countryName,totalEntries,totalExits,totalFlow
Albania,7461423153.0,7461423153.0,0.0
Austria,16315726289.0,33679179366.0,-20665326165.0
Belarus,0.0,0.0,2567689802.0
Belgium,51014090685.4,20265545775.1,30755310993.1
Bulgaria,14434409801.74,11751347351.3,-7173799170.56
Croatia,569010368.0,569480706.0,-470338.0
Czechia,19333945773.0,55198029482.0,-19448015463.0
Denmark,12345656818.0,5485777146.0,-33895065.0
Estonia,1255555102.0,1254004364.7,1550737.2999999523
Finland,1255555102.0,1254004364.7,1550737.2999999523
France,24176404909.0,28624277432.0,-14577355605.0
Germany,119441849393.56,146214620252.034,-74364419657.914
Greece,13228140152.0,2796356045.3,10223545797.7
Hungary,7354107287.5601845,4158910178.131,2804428109.429185
Ireland,0.0,0.0,272136301939.0
Italy,32428267168.0,12256889311.0,17823705092.0
Latvia,1021762498.0,1021762499.0,-1.0
Libya,0.0,0.0,2124744640.0
Lithuania,3972815636.0,1405125835.0,-2573867607.0
Luxemburg,786145998.0,728897.0,785417101.0
Moldavia,108122308.07,2777830983.9509997,-1231358859.1809998
Morocco,2372870.0,662441466.0,0.0
Netherlands,40873141263.5,43069959062.2,-9658939370.539999
North Macedonia,0.0,427357111.0,-427357111.0
Norway,31959933546.6,0.0,89759832170.6
Poland,7957803801.43,7918718573.844,38589795.58599985
Portugal,1151205337.0,1171309737.0,-20104400.0
Romania,2862770184.630185,3202819164.463,-340048979.83281505
Russia,0.0,2573867606.0,10898354034.3
San Marino,0.0,70731741.0,0.0
Serbia,3124316000.0,7137110760.0,-3622025760.0
Slovakia,13127722359.33,38061343440.2,-18700214809.870003
Slovenia,1244998368.0,1243963437.0,1034931.0
Spain,3116237432.0,3110653291.0,-654484455.0
Switzerland,18498201217.0,69178145040.67,-17296330101.89
Turkey,10223545924.0,0.0,20288645854.0
Ukraine,23680485068.44,13563956767.621,-2220175550.1810007
United Kingdom,327411453669.8,16966991879.5,0.0
